Description;category;Prix;Marque;Couleurs;Taille;Etat;Vues;Interesses;Emplacement;Date;Current_date;No;url
Yeezy Powerphase Black;sneakers-and-converses;120,00;ADIDAS;NOIR;43;NEUF, AVEC ÉTIQUETTE;217;10;CHEVAIGNÉ, FRANCE;13/02/2020 19:54;2020-07-09 17:02:22.511197;418382812;https://www.vinted.fr/hommes/sneakers-and-converses/418382812-yeezy-powerphase-black
Adidas Alexander Wang;sneakers-and-converses;160,00;ADIDAS;NOIR, BLANC;44;BON ÉTAT;1066;13;BOULOGNE-BILLANCOURT, FRANCE;11/02/2020 07:40;2020-07-09 17:02:28.731031;416133201;https://www.vinted.fr/hommes/sneakers-and-converses/416133201-adidas-alexander-wang
Adidas YEEZY Powerphase;sneakers-and-converses;60,00;ADIDAS;GRIS, TURQUOISE;46;SATISFAISANT;1102;0;LE KREMLIN-BICÊTRE, FRANCE;10/02/2020 21:04;2020-07-09 17:02:34.705297;415999705;https://www.vinted.fr/hommes/sneakers-and-converses/415999705-adidas-yeezy-powerphase
Adidas Yeezy Powerphase EF2903 44 10us 9uk;sneakers-and-converses;65,00;ADIDAS;BLANC, LILA;44;NEUF, AVEC ÉTIQUETTE;408;6;CHARENTON-LE-PONT, FRANCE;05/02/2020 13:20;2020-07-09 17:02:43.916485;410923814;https://www.vinted.fr/hommes/sneakers-and-converses/410923814-adidas-yeezy-powerphase-ef2903-44-10us-9uk
Adidas - Powerphase - 36;baskets-baskets;30,00;ADIDAS;GRIS;36;TRÈS BON ÉTAT;91;2;LE BAN SAINT-MARTIN, FRANCE;02/02/2020 21:39;2020-07-09 17:02:58.512698;409020587;https://www.vinted.fr/femmes/baskets-baskets/409020587-adidas-powerphase-36
Adidas Powerphase;sneakers-and-converses;42,00;ADIDAS;GRIS, BLANC;41;NEUF, AVEC ÉTIQUETTE;320;5;CHÂTEAUROUX, FRANCE;31/01/2020 23:21;2020-07-09 17:03:29.826076;406897426;https://www.vinted.fr/hommes/sneakers-and-converses/406897426-adidas-powerphase
Adidas powerphase yeezy calabasas noir;sneakers-and-converses;80,00;ADIDAS;NOIR;40;NEUF;332;2;PONTOISE, FRANCE;27/01/2020 10:24;2020-07-09 17:03:36.100862;403179084;https://www.vinted.fr/hommes/sneakers-and-converses/403179084-adidas-powerphase-yeezy-calabasas-noir
Powerphase Calabasas Grey;sneakers-and-converses;100,00;ADIDAS;GRIS;43;TRÈS BON ÉTAT;175;4;LIMOGES, FRANCE;26/01/2020 13:27;2020-07-09 17:03:45.607078;402130567;https://www.vinted.fr/hommes/sneakers-and-converses/402130567-powerphase-calabasas-grey
Adidas Yeezy powerphase;sneakers-and-converses;50,00;ADIDAS;NOIR;41;TRÈS BON ÉTAT;169;2;FRANCE;25/01/2020 10:49;2020-07-09 17:04:01.173487;400980075;https://www.vinted.fr/hommes/sneakers-and-converses/400980075-adidas-yeezy-powerphase
Adidas Yeezy Powerphase Calabasas Grey en 38;sneakers-and-converses;100,00;ADIDAS;BLEU, BLEU CLAIR;38;NEUF;153;0;PARIS, FRANCE;24/01/2020 16:00;2020-07-09 17:04:07.348516;400553868;https://www.vinted.fr/hommes/sneakers-and-converses/400553868-adidas-yeezy-powerphase-calabasas-grey-en-38
