Description;category;Prix;Marque;Couleurs;Taille;Etat;Vues;Interesses;Emplacement;Date;Current_date;No;url
Adidas Yeezy Powerphase;sneakers-and-converses;120,00;ADIDAS;NOIR;43;NEUF, AVEC ÉTIQUETTE;421;1;ARLES, FRANCE;27/04/2018 20:39;2020-07-09 17:20:06.571383;80541912;https://www.vinted.fr/hommes/sneakers-and-converses/80541912-adidas-yeezy-powerphase
Yeezy powerphase calabasas;sneakers-and-converses;200,00;ADIDAS;NOIR;42;NEUF, AVEC ÉTIQUETTE;271;0;MARSEILLE, FRANCE;19/04/2018 11:16;2020-07-09 17:20:13.125888;78381878;https://www.vinted.fr/hommes/sneakers-and-converses/78381878-yeezy-powerphase-calabasas
Yeezy Powerphase;sneakers-and-converses;150,00;ADIDAS;NOIR;44;TRÈS BON ÉTAT;342;0;PARIS, FRANCE;09/04/2018 09:29;2020-07-09 17:20:19.017617;75906688;https://www.vinted.fr/hommes/sneakers-and-converses/75906688-yeezy-powerphase
Yeezy powerphase calabassas black authentique;chaussures-habillees;150,00;ADIDAS;NOIR;44;NEUF, AVEC ÉTIQUETTE;1260;2;LA BÂTIE-NEUVE, FRANCE;29/03/2018 14:12;2020-07-09 17:20:25.120693;73414847;https://www.vinted.fr/hommes/chaussures-habillees/73414847-yeezy-powerphase-calabassas-black-authentique
Yeezy powerphase Calabasas noir;sneakers-and-converses;200,00;ADIDAS;NOIR, GRIS;40;NEUF, AVEC ÉTIQUETTE;526;0;RENNES, FRANCE;27/03/2018 12:06;2020-07-09 17:20:30.591311;72963937;https://www.vinted.fr/hommes/sneakers-and-converses/72963937-yeezy-powerphase-calabasas-noir
Adidas Yeezy Powerphase (convient à un 43);sneakers-and-converses;100,00;ADIDAS;NOIR;44;NEUF, AVEC ÉTIQUETTE;436;8;HAGUENAU, FRANCE;24/03/2018 13:24;2020-07-09 17:20:49.149544;72248499;https://www.vinted.fr/hommes/sneakers-and-converses/72248499-adidas-yeezy-powerphase-convient-a-un-43
Yeezy powerphase black;sneakers-and-converses;140,00;ADIDAS;NOIR;44;NEUF, AVEC ÉTIQUETTE;678;3;NÎMES, FRANCE;22/03/2018 20:19;2020-07-09 17:20:56.694665;71979484;https://www.vinted.fr/hommes/sneakers-and-converses/71979484-yeezy-powerphase-black
Adossa powerphase black;autres-sports;175,00;ADIDAS;NOIR;46;NEUF;136;0;MELUN, FRANCE;21/03/2018 11:05;2020-07-09 17:21:02.919404;71658382;https://www.vinted.fr/hommes/autres-sports/71658382-adossa-powerphase-black
Yeezy Powerphase noir Eu 42;sneakers-and-converses;130,00;ADIDAS;NOIR;42;NEUF, AVEC ÉTIQUETTE;386;0;PARIS, FRANCE;20/03/2018 19:47;2020-07-09 17:21:08.533104;71584517;https://www.vinted.fr/hommes/sneakers-and-converses/71584517-yeezy-powerphase-noir-eu-42
Yeezy Powerphase black;sneakers-and-converses;140,00;ADIDAS;NOIR;42.5;NEUF, AVEC ÉTIQUETTE;121;1;MEUDON, FRANCE;18/03/2018 11:10;2020-07-09 17:21:14.050822;70925542;https://www.vinted.fr/hommes/sneakers-and-converses/70925542-yeezy-powerphase-black
Yeezy Powerphase Core Black;sneakers-and-converses;150,00;ADIDAS;NOIR;42.5;NEUF, AVEC ÉTIQUETTE;227;0;CHATOU, FRANCE;17/03/2018 18:47;2020-07-09 17:21:19.899654;70831419;https://www.vinted.fr/hommes/sneakers-and-converses/70831419-yeezy-powerphase-core-black
Yeezy Powerphase Calabasas Black;sneakers-and-converses;170,00;ADIDAS;NOIR;42.5;NEUF, AVEC ÉTIQUETTE;209;3;PARIS, FRANCE;17/03/2018 17:07;2020-07-09 17:21:25.677614;70797474;https://www.vinted.fr/hommes/sneakers-and-converses/70797474-yeezy-powerphase-calabasas-black
Yeezy powerphase;sneakers-and-converses;85,00;ADIDAS;NOIR;44;TRÈS BON ÉTAT;533;3;NANTERRE, FRANCE;17/03/2018 12:42;2020-07-09 17:21:31.122729;70718704;https://www.vinted.fr/hommes/sneakers-and-converses/70718704-yeezy-powerphase
Yeezy powerphase Grey;sneakers-and-converses;150,00;ADIDAS;GRIS;;NEUF, AVEC ÉTIQUETTE;169;0;LILLE, FRANCE;24/01/2018 22:49;2020-07-09 17:21:36.926669;61349139;https://www.vinted.fr/hommes/sneakers-and-converses/61349139-yeezy-powerphase-grey
Adidas powerphase og taille 39 mais peut correspondre à une 38 et demi;baskets-baskets;40,00;ADIDAS;NOIR;39;NEUF;647;0;FRANCE;16/10/2015 22:21;2020-07-09 17:21:45.842490;17784146;https://www.vinted.fr/femmes/baskets-baskets/17784146-adidas-powerphase-og-taille-39-mais-peut-correspondre-a-une-38-et-demi
